id;x;y;z;time
0x6733;1935;952;0;2019-05-16 10:25:12.392
0x6733;2108;961;0;2019-05-16 10:25:12.572
0x6733;2097;956;0;2019-05-16 10:25:12.936
0x6733;1908;964;0;2019-05-16 10:25:13.308
0x6733;1916;957;0;2019-05-16 10:25:13.488
0x6733;2131;956;0;2019-05-16 10:25:13.674
0x6733;1929;981;0;2019-05-16 10:25:14.042
0x6733;1947;960;0;2019-05-16 10:25:14.228
0x6733;1912;965;0;2019-05-16 10:25:14.408
0x6733;2125;960;0;2019-05-16 10:25:14.590
0x6733;1973;949;0;2019-05-16 10:25:14.779
0x6733;2009;942;0;2019-05-16 10:25:14.956
0x6733;2100;916;0;2019-05-16 10:25:15.323
0x6733;2116;950;0;2019-05-16 10:25:15.508
0x6733;1900;976;0;2019-05-16 10:25:15.690
0x6733;2136;972;0;2019-05-16 10:25:15.873
0x6733;1943;906;0;2019-05-16 10:25:16.049
0x6733;1917;962;0;2019-05-16 10:25:16.238
0x6733;1952;918;0;2019-05-16 10:25:16.600
0x6733;2107;924;0;2019-05-16 10:25:16.783
0x6733;1933;892;0;2019-05-16 10:25:16.965
0x6733;1941;954;0;2019-05-16 10:25:17.147
0x6733;1933;971;0;2019-05-16 10:25:17.326
0x6733;1922;963;0;2019-05-16 10:25:17.514
0x6733;2124;945;0;2019-05-16 10:25:17.697
0x6733;2118;942;0;2019-05-16 10:25:17.882
0x6733;2025;922;0;2019-05-16 10:25:18.060
0x6733;1919;920;0;2019-05-16 10:25:18.428
0x6733;1968;951;0;2019-05-16 10:25:18.617
0x6733;1668;1091;0;2019-05-16 10:25:18.794
0x6733;1976;1136;0;2019-05-16 10:25:18.980
0x6733;1631;1096;0;2019-05-16 10:25:19.161
0x6733;1695;1064;0;2019-05-16 10:25:19.349
0x6733;1687;1113;0;2019-05-16 10:25:19.532
0x6733;1827;945;0;2019-05-16 10:25:19.712
0x6733;1793;1062;0;2019-05-16 10:25:19.895
0x6733;1934;1004;0;2019-05-16 10:25:20.079
0x6733;2106;986;0;2019-05-16 10:25:20.442
0x6733;1591;1150;0;2019-05-16 10:25:20.628
0x6733;1723;1055;0;2019-05-16 10:25:20.996
0x6733;2053;1036;0;2019-05-16 10:25:21.178
0x6733;1655;1106;0;2019-05-16 10:25:21.908
0x6733;1668;1103;0;2019-05-16 10:25:22.096
0x6733;1973;1121;0;2019-05-16 10:25:22.277
0x6733;1730;1051;0;2019-05-16 10:25:22.467
0x6733;2007;1077;0;2019-05-16 10:25:22.827
0x6733;1702;1064;0;2019-05-16 10:25:23.003
0x6733;1983;1076;0;2019-05-16 10:25:23.192
0x6733;1674;1088;0;2019-05-16 10:25:23.742
0x6733;1738;1058;0;2019-05-16 10:25:24.105
0x6733;2078;1032;0;2019-05-16 10:25:24.469
0x6733;1832;1030;0;2019-05-16 10:25:24.653
0x6733;1844;1026;0;2019-05-16 10:25:24.837
0x6733;1824;975;0;2019-05-16 10:25:25.202
0x6733;2070;988;0;2019-05-16 10:25:25.393
0x6733;1819;976;0;2019-05-16 10:25:25.571
0x6733;1881;990;0;2019-05-16 10:25:25.936
0x6733;1854;983;0;2019-05-16 10:25:26.128
0x6733;1829;1012;0;2019-05-16 10:25:26.488
