;time;id;x;y;height;cam
424;1557995092223;27966;256;181;1252;D8:80:39:D8:42:9E
425;1557995092223;27979;485;203;1217;D8:80:39:D8:42:9E
426;1557995092414;27966;256;181;1252;D8:80:39:D8:42:9E
427;1557995092414;27979;484;203;1217;D8:80:39:D8:42:9E
428;1557995092710;27966;255;180;1252;D8:80:39:D8:42:9E
429;1557995092710;27979;484;204;1209;D8:80:39:D8:42:9E
430;1557995092909;27966;254;180;1252;D8:80:39:D8:42:9E
431;1557995092909;27979;484;203;1217;D8:80:39:D8:42:9E
432;1557995093268;27966;254;180;1244;D8:80:39:D8:42:9E
433;1557995093268;27979;484;203;1225;D8:80:39:D8:42:9E
434;1557995093413;27966;254;180;1244;D8:80:39:D8:42:9E
435;1557995093413;27979;484;203;1225;D8:80:39:D8:42:9E
436;1557995093709;27966;254;179;1252;D8:80:39:D8:42:9E
437;1557995093709;27979;483;203;1224;D8:80:39:D8:42:9E
438;1557995093911;27966;254;179;1252;D8:80:39:D8:42:9E
439;1557995093911;27979;483;203;1224;D8:80:39:D8:42:9E
440;1557995094210;27966;254;179;1252;D8:80:39:D8:42:9E
441;1557995094210;27979;485;204;1209;D8:80:39:D8:42:9E
442;1557995094414;27966;254;179;1252;D8:80:39:D8:42:9E
443;1557995094414;27979;485;203;1217;D8:80:39:D8:42:9E
444;1557995094711;27966;255;179;1252;D8:80:39:D8:42:9E
445;1557995094711;27979;484;203;1225;D8:80:39:D8:42:9E
446;1557995094911;27966;258;178;1245;D8:80:39:D8:42:9E
447;1557995094911;27979;484;203;1217;D8:80:39:D8:42:9E
448;1557995095213;27966;264;177;1223;D8:80:39:D8:42:9E
449;1557995095213;27979;483;203;1233;D8:80:39:D8:42:9E
450;1557995095512;27966;268;178;1216;D8:80:39:D8:42:9E
451;1557995095512;27979;484;203;1225;D8:80:39:D8:42:9E
452;1557995095710;27966;268;179;1216;D8:80:39:D8:42:9E
453;1557995095710;27979;484;203;1217;D8:80:39:D8:42:9E
454;1557995095910;27966;267;179;1216;D8:80:39:D8:42:9E
455;1557995095910;27979;484;203;1225;D8:80:39:D8:42:9E
456;1557995096205;27966;264;179;1216;D8:80:39:D8:42:9E
457;1557995096205;27979;483;202;1241;D8:80:39:D8:42:9E
458;1557995096512;27966;263;178;1216;D8:80:39:D8:42:9E
459;1557995096512;27979;483;203;1233;D8:80:39:D8:42:9E
460;1557995096714;27966;263;178;1216;D8:80:39:D8:42:9E
461;1557995096714;27979;484;203;1233;D8:80:39:D8:42:9E
462;1557995097010;27966;263;178;1216;D8:80:39:D8:42:9E
463;1557995097010;27979;484;202;1240;D8:80:39:D8:42:9E
464;1557995097221;27966;264;179;1223;D8:80:39:D8:42:9E
465;1557995097221;27979;483;202;1240;D8:80:39:D8:42:9E
466;1557995097428;27966;264;179;1223;D8:80:39:D8:42:9E
467;1557995097428;27979;484;202;1241;D8:80:39:D8:42:9E
468;1557995097706;27966;263;178;1216;D8:80:39:D8:42:9E
469;1557995097706;27979;484;202;1241;D8:80:39:D8:42:9E
470;1557995097908;27966;263;178;1216;D8:80:39:D8:42:9E
471;1557995097908;27979;484;202;1241;D8:80:39:D8:42:9E
472;1557995098214;27966;263;178;1216;D8:80:39:D8:42:9E
473;1557995098214;27979;484;203;1233;D8:80:39:D8:42:9E
474;1557995098407;27966;264;179;1223;D8:80:39:D8:42:9E
475;1557995098407;27979;484;203;1217;D8:80:39:D8:42:9E
476;1557995098760;27966;264;179;1223;D8:80:39:D8:42:9E
477;1557995098760;27979;485;204;1201;D8:80:39:D8:42:9E
478;1557995098926;27966;263;179;1215;D8:80:39:D8:42:9E
479;1557995098926;27979;484;203;1217;D8:80:39:D8:42:9E
480;1557995099227;27966;264;179;1223;D8:80:39:D8:42:9E
481;1557995099227;27979;483;203;1233;D8:80:39:D8:42:9E
482;1557995099415;27966;264;179;1223;D8:80:39:D8:42:9E
483;1557995099415;27979;484;203;1217;D8:80:39:D8:42:9E
484;1557995099720;27966;263;180;1215;D8:80:39:D8:42:9E
485;1557995099720;27979;485;204;1201;D8:80:39:D8:42:9E
486;1557995099910;27966;264;180;1215;D8:80:39:D8:42:9E
487;1557995099910;27979;485;204;1201;D8:80:39:D8:42:9E
488;1557995100215;27966;264;181;1215;D8:80:39:D8:42:9E
489;1557995100215;27979;486;204;1201;D8:80:39:D8:42:9E
490;1557995100407;27966;265;181;1215;D8:80:39:D8:42:9E
491;1557995100407;27979;485;204;1209;D8:80:39:D8:42:9E
492;1557995100712;27966;265;180;1216;D8:80:39:D8:42:9E
493;1557995100712;27979;485;203;1209;D8:80:39:D8:42:9E
494;1557995100912;27966;265;180;1216;D8:80:39:D8:42:9E
495;1557995100912;27979;485;203;1209;D8:80:39:D8:42:9E
496;1557995101213;27966;265;180;1215;D8:80:39:D8:42:9E
497;1557995101213;27979;485;203;1217;D8:80:39:D8:42:9E
498;1557995101411;27966;265;181;1215;D8:80:39:D8:42:9E
499;1557995101411;27979;485;203;1209;D8:80:39:D8:42:9E
500;1557995101707;27966;265;181;1215;D8:80:39:D8:42:9E
501;1557995101707;27979;486;203;1201;D8:80:39:D8:42:9E
502;1557995101910;27966;265;180;1216;D8:80:39:D8:42:9E
503;1557995101910;27979;485;204;1209;D8:80:39:D8:42:9E
504;1557995102209;27966;265;180;1216;D8:80:39:D8:42:9E
505;1557995102209;27979;485;203;1209;D8:80:39:D8:42:9E
506;1557995102409;27966;265;179;1216;D8:80:39:D8:42:9E
507;1557995102409;27979;486;203;1201;D8:80:39:D8:42:9E
508;1557995102709;27966;265;179;1216;D8:80:39:D8:42:9E
509;1557995102709;27979;485;203;1209;D8:80:39:D8:42:9E
510;1557995102925;27966;265;180;1216;D8:80:39:D8:42:9E
511;1557995102925;27979;485;203;1209;D8:80:39:D8:42:9E
512;1557995103220;27966;265;180;1216;D8:80:39:D8:42:9E
513;1557995103220;27979;486;203;1201;D8:80:39:D8:42:9E
514;1557995103407;27966;265;180;1216;D8:80:39:D8:42:9E
515;1557995103407;27979;486;202;1209;D8:80:39:D8:42:9E
516;1557995103717;27966;265;178;1216;D8:80:39:D8:42:9E
517;1557995103717;27979;485;204;1209;D8:80:39:D8:42:9E
518;1557995103907;27966;265;178;1216;D8:80:39:D8:42:9E
519;1557995103907;27979;486;204;1201;D8:80:39:D8:42:9E
520;1557995104225;27966;265;178;1216;D8:80:39:D8:42:9E
521;1557995104225;27979;485;203;1209;D8:80:39:D8:42:9E
522;1557995104407;27966;264;178;1216;D8:80:39:D8:42:9E
523;1557995104407;27979;485;203;1209;D8:80:39:D8:42:9E
524;1557995104714;27966;264;178;1216;D8:80:39:D8:42:9E
525;1557995104714;27979;486;203;1209;D8:80:39:D8:42:9E
526;1557995104913;27966;264;178;1216;D8:80:39:D8:42:9E
527;1557995104913;27979;486;203;1209;D8:80:39:D8:42:9E
528;1557995105213;27966;264;179;1223;D8:80:39:D8:42:9E
529;1557995105213;27979;486;203;1201;D8:80:39:D8:42:9E
530;1557995105415;27966;264;179;1223;D8:80:39:D8:42:9E
531;1557995105415;27979;486;203;1201;D8:80:39:D8:42:9E
532;1557995105714;27966;264;178;1216;D8:80:39:D8:42:9E
533;1557995105714;27979;485;203;1209;D8:80:39:D8:42:9E
534;1557995106011;27966;265;178;1216;D8:80:39:D8:42:9E
535;1557995106011;27979;485;202;1217;D8:80:39:D8:42:9E
536;1557995106213;27966;265;178;1216;D8:80:39:D8:42:9E
537;1557995106213;27979;484;202;1225;D8:80:39:D8:42:9E
538;1557995106412;27966;265;178;1216;D8:80:39:D8:42:9E
539;1557995106412;27979;484;202;1225;D8:80:39:D8:42:9E
540;1557995106707;27966;265;178;1216;D8:80:39:D8:42:9E
541;1557995106707;27979;485;202;1217;D8:80:39:D8:42:9E
542;1557995106910;27966;265;179;1216;D8:80:39:D8:42:9E
543;1557995106910;27979;485;203;1209;D8:80:39:D8:42:9E
544;1557995107220;27966;265;180;1216;D8:80:39:D8:42:9E
545;1557995107220;27979;485;203;1209;D8:80:39:D8:42:9E
546;1557995107413;27966;265;180;1216;D8:80:39:D8:42:9E
547;1557995107413;27979;485;203;1209;D8:80:39:D8:42:9E
548;1557995107705;27966;265;180;1216;D8:80:39:D8:42:9E
549;1557995107705;27979;485;204;1209;D8:80:39:D8:42:9E
550;1557995108014;27966;265;180;1216;D8:80:39:D8:42:9E
551;1557995108014;27979;486;204;1217;D8:80:39:D8:42:9E
552;1557995108214;27966;265;180;1216;D8:80:39:D8:42:9E
553;1557995108214;27979;486;205;1217;D8:80:39:D8:42:9E
554;1557995108413;27966;265;180;1216;D8:80:39:D8:42:9E
555;1557995108413;27979;486;206;1208;D8:80:39:D8:42:9E
556;1557995108709;27966;265;180;1216;D8:80:39:D8:42:9E
557;1557995108709;27979;487;206;1201;D8:80:39:D8:42:9E
558;1557995108908;27966;265;179;1216;D8:80:39:D8:42:9E
559;1557995108908;27979;487;205;1201;D8:80:39:D8:42:9E
560;1557995109219;27966;265;178;1216;D8:80:39:D8:42:9E
561;1557995109219;27979;487;205;1201;D8:80:39:D8:42:9E
562;1557995109413;27966;265;178;1216;D8:80:39:D8:42:9E
563;1557995109413;27979;488;204;1202;D8:80:39:D8:42:9E
564;1557995109710;27966;265;178;1216;D8:80:39:D8:42:9E
